Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,MAX_ChgSet,AVG_ChgSet,Buggy
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java,1.0,1.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,no
3.0.0,src/java/main/org/apache/jute/Index.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/JMap.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/JFloat.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/JLong.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/IntegrityCheck.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/AsyncOpsTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,1.0,1.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,11.0,yes
3.0.0,src/java/main/org/apache/jute/CsvInputArchive.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/ServerAdminClient.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/SledgeHammer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/test/org/apache/zookeeper/test/NullDataTest.java,1.0,1.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,3.0,yes
3.0.0,src/java/main/org/apache/jute/compiler/JByte.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/KeeperStateTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,1.0,1.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,yes
3.0.0,src/java/test/org/apache/zookeeper/server/SerializationPerfTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/ZooTrace.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/test/org/apache/zookeeper/test/ClientBase.java,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,yes
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/GenerateLoad.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
